loan_status,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,debt_to_income_ratio,derog_pub_rec,mean_fico_scores,grade
Fully Paid,5000,36 months,7.9,156.46,10 +,RENT,85000,Source Verified,0,0,debt_consolidation,23.12,0,707,A
Fully Paid,4200,36 months,15.27,146.16,9,MORTGAGE,65000,Not Verified,0,0,debt_consolidation,22.91,0,662,C
Fully Paid,8500,36 months,7.51,264.45,2,OWN,25000,Source Verified,0,1,debt_consolidation,8.02,0,762,A
Charged Off,6000,36 months,8.9,190.52,4,MORTGAGE,71000,Verified,0,0,debt_consolidation,13.81,0,707,A
Fully Paid,15350,36 months,8.9,487.42,6,MORTGAGE,45600,Source Verified,0,0,debt_consolidation,12.68,0,747,A
Fully Paid,12000,36 months,13.49,407.17,6,RENT,75000,Source Verified,0,1,debt_consolidation,19.09,0,692,C
Fully Paid,4200,60 months,12.69,94.9,10 +,MORTGAGE,51600,Verified,0,0,credit_card,24.58,0,722,B
Charged Off,32350,60 months,18.64,832.79,3,MORTGAGE,80000,Verified,0,1,debt_consolidation,22.9,0,717,E
Fully Paid,5000,36 months,11.71,165.38,5,MORTGAGE,78000,Verified,0,1,other,23.89,0,692,B
Fully Paid,35000,60 months,12.69,790.82,8,MORTGAGE,170000,Source Verified,0,1,debt_consolidation,12.79,0,777,B
Fully Paid,7000,36 months,7.9,219.04,More than 1,RENT,72000,Source Verified,0,1,wedding,20.72,0,717,A
Fully Paid,2000,36 months,13.49,67.87,6,RENT,25209.6,Source Verified,0,0,debt_consolidation,3.47,0,692,C
Fully Paid,12000,36 months,6.03,365.23,4,MORTGAGE,128000,Not Verified,0,0,medical,7.84,0,757,A
Fully Paid,10200,36 months,7.51,317.34,3,RENT,132000,Not Verified,0,0,debt_consolidation,7.56,0,762,A
Fully Paid,15000,36 months,7.9,469.36,10 +,OWN,36000,Not Verified,0,1,debt_consolidation,11.87,0,757,A
Charged Off,3000,36 months,6.62,92.12,10 +,RENT,35000,Not Verified,0,1,credit_card,3.67,0,752,A
Fully Paid,15850,60 months,11.71,350.26,10 +,MORTGAGE,38720.64,Verified,0,0,debt_consolidation,28.98,0,732,B
Fully Paid,16000,36 months,6.62,491.26,10 +,MORTGAGE,144000,Verified,0,0,debt_consolidation,15.79,0,812,A
Fully Paid,24000,36 months,7.9,750.97,6,RENT,66000,Verified,0,1,debt_consolidation,21.31,0,737,A
Fully Paid,14000,36 months,6.62,429.86,10 +,MORTGAGE,160000,Verified,0,1,debt_consolidation,0.18,0,807,A
Fully Paid,7000,36 months,11.71,231.54,10 +,MORTGAGE,275000,Verified,0,1,other,11.25,0,682,B
Fully Paid,5000,60 months,16.77,123.65,More than 1,RENT,38004,Source Verified,0,0,debt_consolidation,15.38,0,682,D
Fully Paid,5000,60 months,13.49,115.03,10 +,RENT,65000,Source Verified,0,1,other,17.3,0,707,C
Fully Paid,2200,36 months,11.71,72.77,3,MORTGAGE,86015,Source Verified,0,0,home_improvement,1.02,0,727,B
Charged Off,7000,36 months,6.03,213.05,10 +,RENT,80000,Verified,0,0,vacation,13.99,0,782,A
Fully Paid,7200,36 months,9.91,232.02,10 +,MORTGAGE,170000,Not Verified,0,0,credit_card,5.6,0,712,B
Fully Paid,8400,60 months,14.27,196.64,More than 1,MORTGAGE,72000,Source Verified,0,0,home_improvement,10.03,0,697,C
Fully Paid,1900,36 months,7.51,59.12,10 +,MORTGAGE,72000,Not Verified,0,0,debt_consolidation,19.27,0,737,A
Fully Paid,35000,60 months,14.65,826.24,7,RENT,72000,Verified,0,1,small_business,10.08,0,752,C
Fully Paid,10000,36 months,7.9,312.91,More than 1,RENT,40000,Source Verified,0,0,other,5.34,0,767,A
Fully Paid,14500,36 months,8.9,460.43,10 +,MORTGAGE,125000,Verified,0,1,debt_consolidation,12.58,0,722,A
Fully Paid,9100,36 months,6.03,276.97,10 +,MORTGAGE,42000,Source Verified,0,1,house,14.66,0,782,A
Fully Paid,17000,36 months,7.51,528.89,3,RENT,55782,Source Verified,0,1,debt_consolidation,21.19,0,752,A
Fully Paid,3000,36 months,8.9,95.26,2,RENT,48000,Not Verified,0,0,other,16.6,0,717,A
Fully Paid,2200,36 months,5.99,66.92,4,RENT,14400,Not Verified,0,1,major_purchase,11,0,762,A
Fully Paid,26375,60 months,14.65,622.63,10 +,MORTGAGE,78000,Verified,0,1,debt_consolidation,16.54,0,732,C
Fully Paid,25600,36 months,12.69,858.75,unknown,RENT,120000,Verified,0,1,credit_card,15.72,0,712,B
Fully Paid,9600,36 months,11.71,317.53,unknown,RENT,69996,Source Verified,0,1,debt_consolidation,20.4,0,692,B
Fully Paid,35000,60 months,12.42,786.01,5,RENT,83000,Verified,0,1,major_purchase,14.2,0,742,B
Fully Paid,7200,36 months,6.62,221.07,7,MORTGAGE,50000,Source Verified,0,1,debt_consolidation,8.11,0,752,A
Fully Paid,12000,36 months,6.62,368.45,More than 1,RENT,75000,Source Verified,0,1,other,13.92,0,767,A
Fully Paid,15000,36 months,12.42,501.23,2,RENT,156000,Verified,0,0,wedding,8.79,0,692,B
Fully Paid,10000,36 months,11.71,330.76,unknown,RENT,50000,Source Verified,0,0,credit_card,21.46,0,697,B
Fully Paid,7600,36 months,6.03,231.32,7,MORTGAGE,30000,Not Verified,0,0,debt_consolidation,19.84,0,757,A
Fully Paid,29300,60 months,12.42,658,3,MORTGAGE,65000,Verified,0,1,major_purchase,2.05,0,767,B
Fully Paid,19600,60 months,12.42,440.17,More than 1,RENT,50000,Verified,0,0,debt_consolidation,22.99,0,747,B
Charged Off,15000,36 months,11.71,496.14,unknown,RENT,40000,Source Verified,0,0,small_business,10.71,0,712,B
Charged Off,14800,60 months,13.49,340.47,7,OWN,60000,Not Verified,0,0,debt_consolidation,8.82,1,702,C
Fully Paid,3000,36 months,7.9,93.88,2,MORTGAGE,45000,Source Verified,0,0,debt_consolidation,22.58,0,707,A
Fully Paid,4000,36 months,12.42,133.67,unknown,RENT,21864,Source Verified,0,1,debt_consolidation,11.53,0,717,B
Fully Paid,15000,36 months,14.65,517.42,unknown,RENT,28800,Verified,0,1,debt_consolidation,9.88,0,692,C
Fully Paid,6000,36 months,8.9,190.52,2,MORTGAGE,52000,Not Verified,0,1,credit_card,3.97,0,727,A
Fully Paid,25600,60 months,12.42,574.91,10 +,MORTGAGE,115000,Verified,0,1,debt_consolidation,18.04,0,747,B
Fully Paid,15000,36 months,8.9,476.3,3,MORTGAGE,50000,Verified,0,1,debt_consolidation,19.1,0,737,A
Fully Paid,15000,36 months,6.03,456.54,4,OWN,62000,Not Verified,0,1,credit_card,13.3,0,777,A
Fully Paid,20000,60 months,13.49,460.1,5,RENT,96000,Verified,0,0,debt_consolidation,13.5,0,722,C
Fully Paid,4000,36 months,15.27,139.2,2,MORTGAGE,44000,Not Verified,0,1,debt_consolidation,20.29,0,662,C
Fully Paid,3000,36 months,10.65,97.72,9,MORTGAGE,67000,Source Verified,0,0,wedding,20.6,0,687,B
Fully Paid,17000,60 months,10.99,369.54,2,RENT,50000,Source Verified,0,1,debt_consolidation,15.41,0,737,B
Fully Paid,18000,36 months,14.65,620.9,4,RENT,60372,Verified,0,1,debt_consolidation,21.88,0,697,C
Fully Paid,9000,36 months,12.69,301.91,unknown,RENT,86250,Not Verified,0,1,debt_consolidation,10.67,0,677,B
Fully Paid,3825,36 months,14.27,131.24,4,RENT,29950,Verified,0,1,debt_consolidation,24.68,0,672,C
Fully Paid,14000,36 months,7.9,438.07,4,RENT,82000,Source Verified,0,0,debt_consolidation,4.17,0,742,A
Fully Paid,6000,36 months,7.9,187.75,3,RENT,25200,Not Verified,0,0,small_business,18.86,0,717,A
Fully Paid,2350,36 months,9.91,75.73,unknown,RENT,14400,Source Verified,0,1,moving,6.75,0,727,B
Charged Off,3500,36 months,7.9,109.52,More than 1,MORTGAGE,86964,Verified,0,1,other,22.04,0,712,A
Fully Paid,8000,36 months,17.27,286.3,2,MORTGAGE,65000,Not Verified,0,0,debt_consolidation,9.32,0,697,D
Fully Paid,1000,36 months,9.91,32.23,10 +,OWN,50000,Not Verified,0,0,medical,7.46,0,732,B
Fully Paid,12000,36 months,9.91,386.7,More than 1,RENT,36000,Source Verified,0,1,debt_consolidation,5.23,0,732,B
Fully Paid,2400,36 months,12.69,80.51,5,MORTGAGE,92000,Not Verified,0,0,home_improvement,20.4,0,692,B
Charged Off,6100,36 months,8.9,193.7,More than 1,MORTGAGE,50000,Source Verified,0,0,medical,22.2,0,727,A
Fully Paid,6000,36 months,12.69,201.27,10 +,MORTGAGE,96000,Not Verified,0,0,debt_consolidation,22.94,0,717,B
Fully Paid,15000,36 months,13.49,508.96,10 +,MORTGAGE,72000,Not Verified,0,1,debt_consolidation,17.87,0,682,C
Fully Paid,12000,36 months,6.62,368.45,3,RENT,80000,Not Verified,0,1,car,14.25,0,737,A
Fully Paid,15950,60 months,8.9,330.33,4,MORTGAGE,85200,Not Verified,0,0,car,2.7,0,777,A
Charged Off,8000,36 months,6.62,245.63,8,MORTGAGE,40000,Verified,0,0,debt_consolidation,21.51,0,737,A
Charged Off,4000,60 months,19.03,103.83,More than 1,RENT,19200,Source Verified,0,0,debt_consolidation,12.75,0,662,E
Fully Paid,25000,60 months,17.58,629.14,10 +,MORTGAGE,42000,Verified,0,0,house,0.94,0,702,D
Fully Paid,7000,36 months,13.49,237.52,8,RENT,90000,Source Verified,0,0,debt_consolidation,19.63,0,697,C
Fully Paid,25000,36 months,7.9,782.26,5,MORTGAGE,131004,Source Verified,0,1,major_purchase,10.77,0,752,A
Charged Off,7000,36 months,14.65,241.46,2,RENT,38000,Not Verified,0,1,medical,12.13,0,687,C
Fully Paid,3000,36 months,14.27,102.93,unknown,RENT,70000,Verified,0,0,wedding,18.19,0,667,C
Fully Paid,14000,36 months,6.03,426.1,6,RENT,105000,Not Verified,0,1,house,7.35,0,767,A
Fully Paid,8000,36 months,6.62,245.63,10 +,RENT,164000,Verified,0,0,other,4.4,0,737,A
Fully Paid,35000,60 months,17.27,874.93,10 +,RENT,100000,Verified,0,1,small_business,26.32,0,732,D
Fully Paid,5000,36 months,8.9,158.77,unknown,RENT,32400,Source Verified,0,0,other,7.89,0,702,A
Fully Paid,18000,60 months,11.71,397.77,8,MORTGAGE,125004,Source Verified,0,1,debt_consolidation,8.24,0,787,B
Fully Paid,10000,36 months,14.27,343.09,7,RENT,90000,Not Verified,0,0,debt_consolidation,10.97,0,667,C
Fully Paid,11000,36 months,6.62,337.75,4,MORTGAGE,80000,Not Verified,0,0,debt_consolidation,0.81,0,777,A
Fully Paid,8000,36 months,10.65,260.59,5,OWN,36000,Verified,0,1,debt_consolidation,24.5,0,707,B
Fully Paid,11000,36 months,11.71,363.84,2,OWN,45843.2,Source Verified,0,1,debt_consolidation,7.8,0,687,B
Fully Paid,9000,36 months,7.51,280,4,MORTGAGE,52260,Not Verified,0,1,home_improvement,13.09,0,787,A
Fully Paid,12000,60 months,17.27,299.98,unknown,RENT,32200,Verified,0,1,major_purchase,4.25,0,702,D
Charged Off,2500,36 months,15.27,87,4,MORTGAGE,104085,Not Verified,0,1,debt_consolidation,9.57,0,672,C
Fully Paid,12000,36 months,6.03,365.23,4,RENT,53000,Not Verified,0,0,credit_card,11.3,0,762,A
Fully Paid,10000,36 months,11.99,332.1,4,RENT,33000,Verified,0,0,debt_consolidation,24.84,0,697,B
Fully Paid,10000,36 months,9.91,322.25,7,MORTGAGE,68000,Not Verified,0,0,home_improvement,8.12,0,727,B
Fully Paid,15000,36 months,8.9,476.3,4,RENT,50000,Verified,0,0,debt_consolidation,1.92,0,762,A
Fully Paid,3000,36 months,12.69,100.64,3,RENT,25000,Verified,0,1,debt_consolidation,3.12,0,717,B
Fully Paid,1200,36 months,6.62,36.85,7,OWN,42000,Not Verified,0,0,vacation,7.51,0,747,A
Fully Paid,20000,60 months,12.42,449.15,unknown,MORTGAGE,60000,Source Verified,0,0,debt_consolidation,7.46,0,752,B
Fully Paid,14400,36 months,9.91,464.04,More than 1,RENT,58000,Not Verified,0,1,debt_consolidation,15.17,0,712,B
Fully Paid,15000,36 months,6.62,460.56,3,RENT,36000,Not Verified,0,1,wedding,10.73,0,772,A
Fully Paid,10000,36 months,6.03,304.36,8,MORTGAGE,50000,Not Verified,0,0,small_business,5.14,0,787,A
Fully Paid,30750,60 months,11.71,679.52,More than 1,MORTGAGE,58000,Verified,0,0,credit_card,24.21,0,752,B
Fully Paid,13300,60 months,19.91,351.71,4,MORTGAGE,48000,Verified,0,1,credit_card,15.18,0,667,E
Fully Paid,12800,36 months,6.62,393.01,6,MORTGAGE,60000,Verified,0,0,debt_consolidation,11.77,0,757,A
Fully Paid,9000,60 months,14.27,210.68,7,MORTGAGE,95004,Source Verified,0,1,debt_consolidation,17.96,0,717,C
Charged Off,14000,60 months,16.77,346.21,10 +,MORTGAGE,103000,Source Verified,0,1,debt_consolidation,9.5,1,687,D
Fully Paid,8000,36 months,13.49,271.45,10 +,RENT,71000,Not Verified,0,0,debt_consolidation,14.79,0,672,C
Fully Paid,9350,36 months,6.62,287.08,5,MORTGAGE,48500,Source Verified,0,0,other,4.97,0,752,A
Fully Paid,7500,36 months,12.69,251.59,10 +,OWN,21000,Source Verified,0,0,credit_card,12.11,0,697,B
Fully Paid,11200,36 months,12.42,374.26,10 +,MORTGAGE,71000,Source Verified,0,1,debt_consolidation,14.54,0,682,B
Fully Paid,2975,36 months,7.9,93.09,6,RENT,49800,Source Verified,0,1,debt_consolidation,3.54,0,712,A
Charged Off,5000,36 months,11.71,165.38,7,MORTGAGE,64800,Not Verified,0,0,medical,6.19,0,682,B
Fully Paid,9000,36 months,12.69,301.91,More than 1,MORTGAGE,90000,Not Verified,0,1,credit_card,17.76,1,697,B
Charged Off,11000,60 months,17.58,276.83,3,RENT,37000,Not Verified,0,1,debt_consolidation,20.46,0,677,D
Charged Off,21000,60 months,18.64,540.61,3,MORTGAGE,55000,Source Verified,0,1,credit_card,13.81,0,682,E
Charged Off,18000,60 months,19.91,475.99,unknown,MORTGAGE,50000,Verified,0,1,debt_consolidation,23.28,1,667,E
Fully Paid,5000,36 months,10.65,162.87,7,OWN,120000,Source Verified,0,1,car,5.04,0,702,B
Fully Paid,35000,60 months,18.64,901.01,2,MORTGAGE,130000,Verified,0,1,debt_consolidation,10.53,0,717,E
Fully Paid,5000,36 months,8.9,158.77,2,RENT,44004,Source Verified,0,0,debt_consolidation,12.71,0,722,A
Fully Paid,20125,60 months,10.65,434.07,2,MORTGAGE,42000,Verified,0,1,debt_consolidation,27.29,0,752,B
Fully Paid,4200,36 months,9.91,135.35,10 +,RENT,55000,Not Verified,0,1,moving,18.26,0,702,B
Fully Paid,4800,36 months,7.9,150.2,More than 1,RENT,40000,Source Verified,0,1,debt_consolidation,16.17,0,717,A
Fully Paid,28000,60 months,14.27,655.44,4,MORTGAGE,120000,Verified,0,0,debt_consolidation,14.25,0,742,C
Fully Paid,25000,60 months,10.65,539.21,10 +,MORTGAGE,75000,Verified,0,0,debt_consolidation,6.88,0,752,B
Fully Paid,5100,36 months,7.9,159.59,3,MORTGAGE,30000,Not Verified,0,1,car,9.2,0,727,A
Fully Paid,20000,36 months,7.9,625.81,2,RENT,54000,Source Verified,0,0,debt_consolidation,16.53,0,732,A
Fully Paid,30000,36 months,7.9,938.71,10 +,MORTGAGE,84000,Verified,0,1,debt_consolidation,5.94,0,747,A
Fully Paid,12000,60 months,9.91,254.44,6,MORTGAGE,55000,Not Verified,0,0,debt_consolidation,15.08,0,737,B
Fully Paid,12000,36 months,7.9,375.49,More than 1,RENT,75000,Source Verified,0,1,debt_consolidation,8.86,0,727,A
Fully Paid,35000,60 months,13.49,805.17,8,OWN,90000,Verified,0,1,debt_consolidation,19.09,0,747,C
Fully Paid,16000,36 months,6.03,486.97,7,MORTGAGE,67200,Verified,0,0,debt_consolidation,15.05,0,772,A
Fully Paid,28250,36 months,16.77,1003.96,7,MORTGAGE,120000,Source Verified,0,0,debt_consolidation,6.19,0,702,D
Fully Paid,20000,60 months,18.25,510.6,8,RENT,84000,Verified,0,1,debt_consolidation,23.14,1,682,D
Fully Paid,16000,36 months,6.62,491.26,3,MORTGAGE,75000,Not Verified,0,1,house,5.55,0,802,A
Fully Paid,5000,36 months,6.03,152.18,10 +,MORTGAGE,115000,Verified,0,1,medical,7.07,0,782,A
Fully Paid,18950,36 months,15.96,665.86,7,RENT,60000,Verified,0,1,debt_consolidation,18,0,687,C
Charged Off,12000,36 months,16.77,426.47,More than 1,MORTGAGE,44004,Verified,0,1,home_improvement,14.29,0,667,D
Fully Paid,1800,36 months,14.27,61.76,More than 1,RENT,57000,Not Verified,0,0,major_purchase,7.22,0,707,C
Fully Paid,30000,60 months,16.77,741.88,More than 1,RENT,129000,Verified,0,1,debt_consolidation,21.69,0,727,D
Fully Paid,2500,36 months,6.62,76.76,unknown,RENT,15889.2,Verified,0,1,debt_consolidation,19.86,0,767,A
Charged Off,25000,60 months,10.65,539.21,7,MORTGAGE,87500,Verified,0,1,debt_consolidation,13.97,0,757,B
Fully Paid,28000,60 months,10.65,603.92,unknown,RENT,80000,Verified,0,1,credit_card,14.05,0,762,B
Charged Off,5000,36 months,7.51,155.56,9,MORTGAGE,92000,Not Verified,0,1,home_improvement,13.28,0,742,A
Fully Paid,35000,60 months,12.69,790.82,10 +,MORTGAGE,208000,Verified,0,1,home_improvement,10.59,0,782,B
Fully Paid,4200,36 months,12.69,140.89,2,MORTGAGE,120000,Verified,0,0,home_improvement,6.35,0,682,B
Charged Off,25875,60 months,22.06,715.53,10 +,RENT,60000,Verified,0,1,debt_consolidation,15.18,0,702,F
Fully Paid,1500,36 months,19.03,55.01,2,RENT,64000,Not Verified,0,0,debt_consolidation,16.76,1,682,E
Charged Off,15250,60 months,12.69,344.57,7,RENT,29744,Verified,0,1,debt_consolidation,22.83,0,742,B
Fully Paid,4000,36 months,16.29,141.21,5,RENT,32500,Source Verified,0,1,debt_consolidation,6.42,0,677,D
Fully Paid,15000,60 months,11.71,331.48,More than 1,RENT,80000,Source Verified,0,1,major_purchase,11.88,0,742,B
Fully Paid,12000,36 months,6.03,365.23,8,RENT,47000,Not Verified,0,0,credit_card,14.22,0,762,A
Fully Paid,10625,36 months,6.62,326.23,More than 1,MORTGAGE,40000,Verified,0,1,small_business,16.89,0,757,A
Fully Paid,10000,36 months,12.69,335.45,5,MORTGAGE,43200,Not Verified,0,0,debt_consolidation,5.83,0,682,B
Fully Paid,5500,36 months,14.65,189.72,More than 1,RENT,73700,Verified,0,0,debt_consolidation,12.98,0,667,C
Fully Paid,3500,36 months,13.49,118.76,4,RENT,79500,Not Verified,0,1,debt_consolidation,22.97,0,692,C
Fully Paid,5000,36 months,6.62,153.52,10 +,MORTGAGE,40000,Source Verified,0,1,home_improvement,21.03,0,777,A
Fully Paid,6200,36 months,12.42,207.18,5,RENT,46200,Source Verified,0,1,other,7.9,0,697,B
Fully Paid,3000,36 months,7.9,93.88,More than 1,RENT,39000,Source Verified,0,1,small_business,14.86,0,722,A
Fully Paid,16000,60 months,18.64,411.89,unknown,RENT,91000,Verified,0,1,debt_consolidation,20.31,0,677,E
Fully Paid,6000,36 months,11.71,198.46,unknown,RENT,45000,Not Verified,0,0,medical,17.33,0,677,B
Fully Paid,30000,60 months,15.96,728.91,5,MORTGAGE,174996,Verified,0,1,other,0,0,802,C
Fully Paid,6000,36 months,11.71,198.46,10 +,MORTGAGE,150792,Source Verified,0,1,home_improvement,21.49,0,677,B
Charged Off,15000,36 months,14.27,514.64,3,MORTGAGE,104000,Source Verified,0,0,debt_consolidation,17.43,0,697,C
Charged Off,6800,60 months,15.27,162.74,10 +,MORTGAGE,65000,Verified,0,0,debt_consolidation,20.27,0,692,C
Fully Paid,15000,60 months,20.3,399.92,5,RENT,206000,Verified,0,1,debt_consolidation,8.62,0,662,E
Charged Off,19500,60 months,13.49,448.6,10 +,MORTGAGE,57600,Source Verified,0,0,home_improvement,16.9,0,752,C
Fully Paid,25000,60 months,10.65,539.21,10 +,MORTGAGE,80000,Verified,0,1,debt_consolidation,19.18,0,747,B
Fully Paid,13800,36 months,13.49,468.25,10 +,MORTGAGE,48000,Verified,0,0,other,6.6,1,702,C
Fully Paid,2400,36 months,11.71,79.39,More than 1,MORTGAGE,22000,Source Verified,0,1,home_improvement,3.55,0,712,B
Charged Off,12500,60 months,13.49,287.56,10 +,RENT,66000,Verified,0,0,debt_consolidation,22.58,0,702,C
Fully Paid,1400,36 months,14.27,48.04,unknown,RENT,33000,Source Verified,0,1,medical,3.05,0,682,C
Fully Paid,12000,36 months,6.03,365.23,9,MORTGAGE,58608,Verified,0,1,debt_consolidation,8.8,0,747,A
Fully Paid,24000,60 months,18.64,617.83,3,OWN,47000,Verified,0,0,other,14.6,0,687,E
Fully Paid,7000,60 months,15.27,167.53,4,RENT,37500,Source Verified,0,1,other,22.75,0,687,C
Fully Paid,12000,60 months,17.58,301.99,5,MORTGAGE,102000,Verified,0,0,debt_consolidation,19.46,0,697,D
Fully Paid,4000,36 months,10.65,130.3,unknown,RENT,35000,Not Verified,0,0,wedding,7.44,0,702,B
Fully Paid,6000,36 months,11.71,198.46,6,RENT,45000,Verified,0,0,debt_consolidation,19.73,1,697,B
Fully Paid,7400,36 months,7.51,230.23,3,MORTGAGE,31075,Source Verified,0,0,debt_consolidation,14.17,0,722,A
Fully Paid,10000,60 months,18.25,255.3,4,RENT,39996,Verified,0,1,debt_consolidation,20.73,0,677,D
Fully Paid,12000,36 months,6.03,365.23,10 +,MORTGAGE,76000,Source Verified,0,1,debt_consolidation,5.91,0,782,A
Fully Paid,14000,36 months,10.65,456.03,2,RENT,56000,Verified,0,0,house,25.8,0,722,B
Fully Paid,20000,36 months,7.9,625.81,4,MORTGAGE,90000,Verified,0,0,debt_consolidation,14.33,0,737,A
Fully Paid,23000,60 months,18.64,592.09,10 +,RENT,68000,Verified,0,1,debt_consolidation,20.51,0,697,E
Fully Paid,7400,36 months,10.65,241.05,4,RENT,42000,Not Verified,0,0,debt_consolidation,5.43,0,707,B
Fully Paid,7000,36 months,18.64,255.32,6,MORTGAGE,54000,Not Verified,0,0,medical,6.51,0,662,E
Fully Paid,6000,36 months,7.51,186.67,6,MORTGAGE,130992,Not Verified,0,1,major_purchase,4.74,0,767,A
Fully Paid,3600,36 months,13.49,122.15,6,MORTGAGE,43000,Source Verified,0,0,other,14.48,0,667,C
Fully Paid,2500,60 months,16.77,61.83,3,RENT,50000,Verified,0,1,debt_consolidation,20.28,0,677,D
Fully Paid,5000,36 months,11.71,165.38,2,RENT,35000,Not Verified,0,1,debt_consolidation,14.19,0,697,B
Fully Paid,6000,36 months,7.51,186.67,10 +,RENT,125004,Source Verified,0,0,other,13.15,0,732,A
Fully Paid,22800,36 months,12.69,764.83,2,OWN,43000,Verified,0,0,car,4.6,0,722,B
Fully Paid,32000,36 months,6.62,982.52,3,OWN,350000,Source Verified,0,0,home_improvement,3.71,0,777,A
Fully Paid,20000,36 months,7.51,622.22,2,RENT,50000,Source Verified,0,1,debt_consolidation,10.03,0,782,A
Fully Paid,12800,60 months,16.77,316.54,5,OWN,50000,Source Verified,0,1,home_improvement,19.12,0,687,D
Fully Paid,3600,36 months,9.91,116.01,unknown,MORTGAGE,46858.08,Verified,0,0,other,1.77,0,722,B
Fully Paid,20000,60 months,19.03,519.15,unknown,RENT,50000,Verified,0,1,credit_card,18.14,0,697,E
Fully Paid,14000,36 months,6.03,426.1,4,RENT,40000,Verified,0,1,other,27.66,0,767,A
Charged Off,6000,36 months,13.49,203.59,More than 1,RENT,45000,Source Verified,0,0,debt_consolidation,23.68,0,677,C
Fully Paid,28000,36 months,9.99,903.35,4,MORTGAGE,124800,Verified,0,1,credit_card,15.65,0,727,B
Fully Paid,14000,36 months,6.03,426.1,10 +,RENT,180000,Verified,0,1,house,2.37,0,792,A
Fully Paid,16000,60 months,19.03,415.32,6,RENT,32004,Verified,0,1,debt_consolidation,16.99,0,707,E
Fully Paid,18800,60 months,14.27,440.08,7,RENT,33000,Verified,0,1,debt_consolidation,20.25,0,707,C
Fully Paid,35000,60 months,13.49,805.17,10 +,MORTGAGE,60000,Source Verified,0,1,debt_consolidation,19.04,0,797,C
Fully Paid,14000,36 months,6.03,426.1,10 +,MORTGAGE,85000,Source Verified,0,1,credit_card,8.02,0,767,A
Fully Paid,4000,36 months,7.9,125.17,More than 1,RENT,45000,Source Verified,0,1,debt_consolidation,16.21,0,747,A
Fully Paid,5000,36 months,10.65,162.87,More than 1,RENT,41600,Source Verified,0,1,other,9.84,0,722,B
Fully Paid,4000,36 months,7.9,125.17,4,MORTGAGE,60000,Not Verified,0,0,medical,7.78,0,807,A
Fully Paid,5000,36 months,12.69,167.73,10 +,RENT,145000,Source Verified,0,0,other,12.19,0,672,B
Fully Paid,20000,60 months,20.3,533.23,4,MORTGAGE,65000,Verified,0,1,debt_consolidation,21.08,0,672,E
Fully Paid,5000,36 months,10.65,162.87,5,RENT,43680,Not Verified,0,1,major_purchase,16.76,0,687,B
Fully Paid,5300,60 months,16.77,131.07,6,OWN,24000,Source Verified,0,0,house,18.1,0,687,D
Fully Paid,20000,60 months,13.49,460.1,10 +,RENT,65000,Source Verified,0,1,debt_consolidation,8.88,0,722,C
Fully Paid,12000,36 months,12.69,402.54,unknown,MORTGAGE,154000,Source Verified,0,1,debt_consolidation,4.34,0,697,B
Fully Paid,6000,36 months,6.03,182.62,unknown,RENT,60000,Not Verified,0,0,debt_consolidation,10.28,0,762,A
Charged Off,3000,36 months,7.51,93.34,10 +,MORTGAGE,37000,Not Verified,0,0,debt_consolidation,25.01,0,747,A
Charged Off,5000,36 months,16.29,176.51,4,RENT,50400,Verified,0,1,debt_consolidation,16.74,0,662,D
Fully Paid,3500,36 months,12.42,116.96,More than 1,RENT,66660,Source Verified,0,1,debt_consolidation,10.6,0,702,B
Fully Paid,5150,36 months,6.62,158.13,3,MORTGAGE,111000,Not Verified,0,1,house,0.94,0,802,A
Charged Off,4800,36 months,10.65,156.36,4,MORTGAGE,36000,Not Verified,0,1,credit_card,12.73,0,707,B
Fully Paid,13500,60 months,18.64,347.53,More than 1,RENT,48000,Verified,0,1,debt_consolidation,10.85,0,677,E
Charged Off,7600,36 months,16.29,268.29,unknown,MORTGAGE,48000,Source Verified,0,0,debt_consolidation,21.2,0,667,D
Fully Paid,20000,36 months,7.51,622.22,unknown,MORTGAGE,120000,Source Verified,0,1,home_improvement,12.41,0,787,A
Fully Paid,11875,36 months,10.65,386.81,6,RENT,50000,Source Verified,0,0,medical,19.13,0,707,B
Charged Off,21725,60 months,18.79,561.06,10 +,RENT,50000,Verified,0,1,debt_consolidation,21.07,0,677,E
Fully Paid,1400,36 months,15.27,48.72,3,RENT,58000,Not Verified,0,1,wedding,22.61,0,667,C
Fully Paid,24625,60 months,14.65,581.32,2,MORTGAGE,48000,Verified,0,1,debt_consolidation,25.25,0,732,C
Fully Paid,2400,36 months,6.03,73.05,10 +,MORTGAGE,39600,Not Verified,0,0,other,14.18,0,772,A
Charged Off,20000,36 months,15.27,695.96,6,MORTGAGE,90000,Verified,0,0,debt_consolidation,13.6,0,677,C
Fully Paid,10000,36 months,12.69,335.45,unknown,RENT,157500,Verified,0,1,debt_consolidation,16.24,0,682,B
Fully Paid,12000,36 months,6.62,368.45,unknown,RENT,48400,Source Verified,0,0,credit_card,21.07,0,747,A
Fully Paid,4800,36 months,14.65,165.58,2,RENT,14400,Verified,0,1,car,2.08,0,697,C
Fully Paid,12000,36 months,8.9,381.04,4,RENT,60000,Source Verified,0,0,debt_consolidation,7.52,0,722,A
